Domain,Sub domain,Intent,value,0,1,2,3,4,5,6,7,8,9,y_hat
About Techology,Data Security & Privacy,data_security,Will iAM SMART capture my information even in case I do not use the iAM SMART service?,-3.3297787,-3.4498057,2.086898,-3.2256682,-3.4448493,-3.2984107,-3.3839557,-3.6547854,-3.2882566,-3.5500932,2
About Business Component,Overall,Service_Summary,Do You Only offer a Form Filling Service?,-3.2161787,-3.2740886,-3.36923,-3.2103262,-3.21877,-3.3440785,-3.4620173,-3.2506487,-3.0731459,2.0045009,9
About Techology,iAM SMART Integration,Without_iamsmart,Can I still subscribe to use your service if I do not have an IAMSMART account?,-3.2007568,2.148166,-3.5281785,-3.1788692,-3.0349748,-3.3436308,-3.3123832,-3.3409436,-3.492938,-3.5022848,1
About the team,Our Contact,Contact_method,How do I contact for your company?,-3.3349862,-3.4305887,-3.4960933,-3.2040086,-3.5360966,2.1569536,-3.3373592,-3.2338538,-3.484874,-3.508093,5
About Business Component,Overall,Doubt_usefulness,Make me a reason to use your service.,-3.2199595,-3.385776,-3.2761915,-3.4350915,-3.7190716,-3.3526347,-3.0005786,-3.1715178,2.0248659,-3.2019157,8
About Techology,iAM SMART Integration,Without_iamsmart,"I want to use the service, but I do not have a iAMSMART acc.",-3.2299662,2.1301239,-3.5426624,-3.2018442,-2.9980898,-3.3248837,-3.3528519,-3.2988884,-3.491679,-3.4923098,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,"If I do use the iAMSMART, will I share every entry with them as well?",-3.8551557,-2.7641683,-3.0231473,1.9169813,-3.379808,-3.2336779,-3.2228105,-3.5884848,-3.5646505,-3.2010522,3
About Business Component,Overall,Flow_summary,But how does it work?,-3.2253604,-3.295832,-3.4437213,-3.3687055,-3.115908,-2.9344933,-3.447998,2.0196366,-3.0510645,-3.3206685,7
About Techology,AI Techology,AI_summary,Can Machine Learning Technology Really Help When I Use Fill-Easy?,1.9748167,-3.2051525,-3.173173,-3.6402738,-3.5156455,-3.254437,-3.2700217,-3.207689,-2.9100122,-3.0817726,0
About Business Component,Overall,Doubt_usefulness,Tell Me Brief the Pro of Your Service,-3.1612802,-3.3747442,-3.3343413,-3.341801,-3.768954,-3.404065,-3.0706468,-3.2339046,1.9867721,-3.1771472,8
About Business Component,Filling ,Information_saving,Does that need me to give the same information again if I use your service for the second time?,-3.412526,-3.3302412,-3.097879,-3.4261837,-3.319702,-3.2569122,2.1772914,-3.523545,-2.9770446,-3.5905726,6
About Techology,AI Techology,AI_summary,How does Fill-Easy integrate ML technology?,1.963857,-3.1543431,-3.184788,-3.515482,-3.5284002,-3.2296534,-3.3139489,-3.1965425,-3.0768661,-3.0913646,0
About Business Component,Overall,Service_Summary,introduce us to your business,-3.1136339,-3.3725872,-3.43994,-3.1407576,-3.2528527,-3.3890293,-3.440141,-3.2658205,-3.0472696,2.007271,9
About Techology,Data Security & Privacy,data_security,Do you sell my data to other companies?,-3.2138417,-3.5297875,2.2126358,-3.1625538,-3.3821232,-3.2755194,-3.4558887,-3.5364223,-3.2689247,-3.4778438,2
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will IAMSMART receive all my personal information?,-3.6880703,-3.0352085,-3.0975893,1.9566653,-3.2345867,-3.2918658,-3.3638628,-3.387266,-3.4387503,-3.1211576,3
About Business Component,Overall,Service_Summary,We want to know more about the services you provide.,-3.130595,-3.3176486,-3.415329,-3.115695,-3.197423,-3.38193,-3.430723,-3.2835174,-3.07657,2.0495822,9
About the team,Our Contact,Contact_method,How can we find your contacts?,-3.4060524,-3.4460986,-3.4683373,-3.2070727,-3.615709,2.0914717,-3.3775215,-3.267842,-3.4606676,-3.5734036,5
About Techology,AI Techology,AI_summary,Talk me more about Machine Learning in your business,1.9752496,-3.1880736,-3.2210631,-3.556441,-3.4511926,-3.2030473,-3.3450603,-3.1586215,-3.064699,-3.0156322,0
About Techology,iAM SMART Integration,Without_iamsmart,Can your service be functional without an iAM SMART account?,-3.1603584,2.1109204,-3.5299218,-3.2035172,-3.0547163,-3.3724134,-3.379692,-3.3563085,-3.4701962,-3.5154846,1
About Business Component,Overall,Service_Summary,tell me more about your service,-3.1341305,-3.2757668,-3.441329,-3.1244216,-3.2128875,-3.3518167,-3.450646,-3.2285306,-3.0210085,2.0724878,9
About Business Component,Overall,Service_Summary,Which service would I receive?,-3.1352477,-3.2988613,-3.3819723,-3.131126,-3.149788,-3.3775923,-3.46449,-3.2812088,-3.1005576,2.052857,9
About Business Component,Overall,Service_Summary,Want to learn more about the services you provide,-3.1238778,-3.3504305,-3.4700704,-3.203445,-3.2938888,-3.5519447,-3.4454224,-3.1869516,-3.1094859,1.9440303,9
About the team,Our Contact,Contact_method,What is the contact method for your company?,-3.3615499,-3.436784,-3.4353702,-3.2052844,-3.5610769,2.1476595,-3.3741267,-3.3131213,-3.419703,-3.490569,5
About Techology,iAM SMART Integration,Without_iamsmart,Is it possible to utilize Fill Easy without i AM SMART?,-3.1647284,2.1863222,-3.5693753,-3.1795113,-3.0417378,-3.3076408,-3.316091,-3.2357435,-3.4088426,-3.514546,1
About Business Component,Filling ,Information_saving,What should I do if I need to save the filled-in data?,-3.5311322,-3.245295,-3.173739,-3.347054,-3.0671175,-3.255561,2.2201288,-3.4787068,-3.0696366,-3.5300877,6
About Techology,Data Security & Privacy,sensitive_data_storage,Will my ID number been stored on your server?,-3.477527,-3.068014,-3.0018525,-3.331814,2.2239573,-3.2657828,-3.4704037,-3.2462537,-3.7965093,-3.307729,4
About Techology,iAM SMART Integration,Without_iamsmart,Can I use the form-fill function without an iAMSMART account,-3.15417,2.1351755,-3.5516872,-3.2273214,-3.120463,-3.3579264,-3.339933,-3.2563663,-3.431357,-3.4790745,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,Is iAM SMART going to know the detail of my banking details?,-3.7104864,-3.2232883,-3.1101508,1.791824,-3.3653061,-3.3922935,-3.165489,-3.4808567,-3.5655408,-3.1620686,3
About Business Component,Overall,Service_Summary,introduces me to your business,-3.1945899,-3.4365342,-3.4778717,-3.1486814,-3.2065423,-3.329632,-3.4685242,-3.2594173,-3.0915682,1.969529,9
About Business Component,Overall,Doubt_usefulness,Tell Me The Advantage Of Your Service,-3.1631577,-3.4419525,-3.330835,-3.4289913,-3.7321205,-3.473876,-3.0669694,-3.2174551,1.9300158,-3.2077708,8
About Business Component,Filling ,Information_saving,Do I have to fill two times in the same field?,-3.5434506,-3.2647338,-3.1549056,-3.3843515,-3.2438166,-3.2539573,2.1107461,-3.5561981,-3.1172366,-3.6365027,6
About Business Component,Overall,Doubt_usefulness,Gave me a reason why I should use your service?,-3.1644633,-3.3214364,-3.241625,-3.4058156,-3.6832564,-3.3520284,-2.9984417,-3.273496,2.0517678,-3.168841,8
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will you exchange my data with iAM SMART?,-3.7467558,-3.0856597,-2.9929595,1.897868,-3.199405,-3.371418,-3.1789186,-3.5948513,-3.5608296,-3.1509976,3
About Business Component,Filling ,Information_saving,Will your system remember the information so that I¡¦ll not need to send it again?,-3.6150315,-3.2832546,-3.2585745,-3.4763908,-3.1418946,-3.0911877,2.072759,-3.4838212,-3.1460273,-3.7171216,6
About the team,Our Contact,Contact_method,How can I be able to reach you guys?,-3.418281,-3.4047408,-3.4680767,-3.232593,-3.560499,2.0893872,-3.317623,-3.303325,-3.452487,-3.6414928,5
About the team,Our Contact,Contact_method,How could I get you guys?,-3.2920356,-3.4712162,-3.4226854,-3.2194262,-3.6236796,2.1358044,-3.3621917,-3.2696052,-3.3683732,-3.557481,5
About Techology,AI Techology,AI_summary,How is FillEasy integrated with AI technology?,1.9930904,-3.1643,-3.1233227,-3.4937062,-3.5339012,-3.1587207,-3.3637824,-3.2033567,-3.0865614,-3.0554938,0
About the team,Our Contact,Contact_method,So what is the contact method for your company?,-3.391492,-3.4151828,-3.455409,-3.193538,-3.55869,2.147392,-3.3711417,-3.2992773,-3.425301,-3.5134923,5
About Techology,AI Techology,AI_summary,How did FillEasy integrate Artificial Intelligence technology?,1.9760438,-3.222568,-3.104853,-3.4703472,-3.5195298,-3.2030468,-3.3177874,-3.2374227,-3.0684469,-3.0650308,0
About the team,Our Contact,Contact_method,How can I find your contacts?,-3.3882992,-3.4289505,-3.4802778,-3.204514,-3.6067214,2.105295,-3.3595722,-3.2589989,-3.4553726,-3.5870006,5
About Techology,iAM SMART Integration,data_exchange_iamsmart,We don¡¦t want to share our personal information with iAMSMART.,-3.713507,-2.9797256,-3.26481,1.8430005,-3.2791066,-3.2985804,-3.3298523,-3.46187,-3.6129754,-3.2054534,3
About Techology,Data Security & Privacy,sensitive_data_storage,I hope my data will not be persistent in your cloud.,-3.5126355,-2.956215,-3.1354444,-3.3598485,2.1883328,-3.2147038,-3.2737565,-3.282652,-3.8552287,-3.4190028,4
About Techology,Data Security & Privacy,data_security,Will others be possible to access my personal data?,-3.7905653,-3.9479501,1.3656815,-3.1588306,-2.7263157,-3.4388697,-3.627026,-3.9835815,-3.8788798,-3.7273529,2
About Techology,AI Techology,AI_summary,Will AI assist in your business?,1.8894707,-3.208343,-3.2433846,-3.5916226,-3.4725366,-3.2307596,-3.3817525,-3.1845627,-3.1556275,-3.0270035,0
About Business Component,Overall,Doubt_usefulness,tell me shortly the pros of your service,-3.2285573,-3.3879411,-3.2866783,-3.3582802,-3.7577236,-3.3625143,-3.0926647,-3.2150087,1.9717975,-3.2034738,8
About Business Component,Overall,Service_Summary,Can you say what you do?,-3.1316445,-3.3457596,-3.5387106,-3.2463026,-3.3026085,-3.4789393,-3.4234567,-2.866764,-3.0676394,2.0306926,9
About Techology,iAM SMART Integration,Without_iamsmart,Are I possible to make use of FillEasy without iAM SMART?,-3.213634,2.1645346,-3.5172422,-3.036859,-3.100097,-3.36087,-3.2846806,-3.3342285,-3.4813037,-3.5415106,1
About Business Component,Filling ,Information_saving,Is it going to be my system that will remember my information so that I won¡¦t have to provide them again?,-3.6173384,-3.395972,-3.2071261,-3.2956355,-3.2590795,-3.0673916,1.9886677,-3.5286913,-3.240149,-3.7679932,6
About Business Component,Overall,Flow_summary,What do we do to work?,-3.1648042,-3.2836275,-3.454204,-3.3921795,-3.2352958,-2.9859521,-3.536185,1.98327,-3.0721729,-3.2192166,7
About Techology,Data Security & Privacy,data_security,Will my information be passed over to other companies without my consent?,-3.2417011,-3.515233,2.1767335,-3.1858747,-3.3090816,-3.3304708,-3.5361283,-3.5769582,-3.2711098,-3.5134242,2
About Business Component,Filling ,Information_saving,Will your system remember my information so I won't have to provide it again?,-3.4217968,-3.2511523,-3.149111,-3.4477994,-3.1467404,-3.205381,2.2289648,-3.508187,-3.0586755,-3.5470672,6
About Business Component,Overall,Doubt_usefulness,How many times could I save with your service?,-3.2701511,-3.3937144,-3.2922552,-3.4478362,-3.68725,-3.3144314,-2.892303,-3.22182,1.9991301,-3.2666957,8
About Techology,iAM SMART Integration,Without_iamsmart,Could your service work without a iAMSMART account?,-3.1690614,2.133511,-3.5795958,-3.2300363,-3.0063672,-3.3473172,-3.3453417,-3.3050256,-3.4378924,-3.5043051,1
About the team,Our Contact,Contact_method,I¡¦m want to be in touch.,-3.4704897,-3.488394,-3.4959025,-3.1710088,-3.5424342,2.0476215,-3.3992643,-3.3701677,-3.5013824,-3.5234954,5
About Techology,AI Techology,AI_summary,How does the your system integrate Machine Learning technology?,1.9452933,-3.1901095,-3.183129,-3.5737004,-3.5219803,-3.2199545,-3.3825138,-3.0995948,-3.1381593,-3.0573504,0
About Business Component,Filling ,Information_saving,I don't want to repeat to enter the same information.,-3.4585285,-3.2888389,-3.1869512,-3.3460913,-3.3642857,-3.2712002,2.17674,-3.324299,-3.0862722,-3.5557585,6
About Techology,Data Security & Privacy,sensitive_data_storage,Will my ID numbers be stored on your server?,-3.468918,-3.0818784,-3.0111146,-3.3476994,2.201806,-3.3036225,-3.471356,-3.2681677,-3.8337924,-3.277834,4
About Techology,Data Security & Privacy,data_security,Should government be able to access my information?,-3.1585228,-3.4996073,2.1969264,-3.2187107,-3.3607972,-3.3532379,-3.4635565,-3.563586,-3.2861934,-3.4932752,2
About Techology,iAM SMART Integration,Without_iamsmart,"I don¡¦t have an iAM SMART account, can I still make use of your service?",-3.214537,2.100116,-3.5404634,-3.1515572,-3.0960093,-3.3613262,-3.4237514,-3.294669,-3.5452309,-3.492747,1
About Techology,AI Techology,AI_summary,Why do you use AI in your service?,1.990008,-3.187716,-3.1683152,-3.5848925,-3.482676,-3.1596463,-3.324545,-3.2336447,-3.041354,-3.0275583,0
About Techology,Data Security & Privacy,sensitive_data_storage,Do my ID numbers be saved on your server?,-3.463381,-3.0953488,-3.0173037,-3.3926783,2.1877813,-3.3062248,-3.4609294,-3.277855,-3.8257074,-3.2518296,4
About the team,Our Contact,Contact_method,Where can I find your contacts?,-3.4112709,-3.4685102,-3.4720774,-3.225969,-3.5825675,2.0848982,-3.3808975,-3.3174207,-3.4318018,-3.5626628,5
About Techology,iAM SMART Integration,Without_iamsmart,What is the result of Fill-Easy without iAMSMART?,-3.2019897,2.0711403,-3.5751731,-3.0439782,-3.2688148,-3.3892388,-3.3483474,-3.3439822,-3.4160943,-3.5257661,1
About Techology,iAM SMART Integration,Without_iamsmart,Is it possible to use the Fill Easy without iAMSMART?,-3.1464555,2.1545231,-3.5584104,-3.2127285,-3.1213953,-3.3404713,-3.2664042,-3.26922,-3.3953195,-3.5135167,1
About Business Component,Overall,Service_Summary,What kind of services are you offering?,-3.0760226,-3.3115344,-3.3666925,-3.0881033,-3.19621,-3.3887823,-3.4889638,-3.2895343,-3.0659924,2.065104,9
About Business Component,Filling ,Information_saving,Do I need to provide the very information again if I use your service for the second time?,-3.4735887,-3.38453,-3.1869187,-3.3904982,-3.4055593,-3.2969697,2.1022751,-3.5060096,-2.9572232,-3.5898387,6
About Business Component,Overall,Flow_summary,"So, how do I undertake the process?",-3.3032243,-3.2046502,-3.4214144,-3.322785,-3.1552563,-2.9124177,-3.4444127,2.0471961,-3.1084144,-3.191149,7
About Business Component,Overall,Flow_summary,I do not know what to do to use your service.,-3.1994507,-3.1979723,-3.459563,-3.3844151,-3.143692,-2.962706,-3.4532833,2.0458796,-3.0341148,-3.2826095,7
About Techology,Data Security & Privacy,data_security,Will other parties get to access my information?,-3.2422783,-3.5662344,2.180159,-3.2095973,-3.4019127,-3.271998,-3.4425185,-3.5274963,-3.310613,-3.4779916,2
About the team,Our Contact,Contact_method,How to send the email if I want to be in touch?,-3.3488164,-3.4171743,-3.4376683,-3.2053568,-3.4981136,2.1727607,-3.3081818,-3.3268397,-3.4306445,-3.5321321,5
About the team,Our Contact,Contact_method,What is your office address?,-3.3395965,-3.4697094,-3.4526243,-3.2145686,-3.565247,2.142159,-3.395377,-3.2517061,-3.402263,-3.5253594,5
About Techology,iAM SMART Integration,Without_iamsmart,"I don¡¦t have an iAMSMART account, can I still use your service?",-3.2070355,2.1389678,-3.5636575,-3.1683505,-3.0720186,-3.3066795,-3.37388,-3.2702885,-3.5080597,-3.5079372,1
About Techology,Data Security & Privacy,data_security,Are you willing to sell my data?,-3.242636,-3.512851,2.1874099,-3.2302084,-3.318056,-3.356296,-3.465971,-3.6326196,-3.173655,-3.4998956,2
About Business Component,Overall,Doubt_usefulness,So why should We Use Your Service?,-3.1614819,-3.3612728,-3.2561595,-3.436072,-3.728928,-3.3733826,-3.0318818,-3.23807,2.0121772,-3.204046,8
About the team,Our Contact,Contact_method,Can I go to Your office?,-3.3577528,-3.439426,-3.433613,-3.2563486,-3.54698,2.1202679,-3.3675704,-3.3183405,-3.4208264,-3.5219433,5
About the team,Our Contact,Contact_method,Can I leave to your office?,-3.411771,-3.4852993,-3.4330118,-3.2443717,-3.6178565,2.064673,-3.3818116,-3.3210812,-3.434775,-3.5870433,5
About Techology,AI Techology,AI_summary,How can ML improve My experience as I am using your service?,1.9425627,-3.083745,-3.179037,-3.5182526,-3.5893848,-3.2443752,-3.3706725,-3.1055942,-3.1487825,-3.118114,0
About Business Component,Filling ,Information_saving,What do I do if I want to save the filled-in data?,-3.530459,-3.259045,-3.1892774,-3.3186867,-3.104545,-3.2288415,2.1943848,-3.4845176,-3.0992868,-3.5576363,6
About Business Component,Overall,Doubt_usefulness,What goods can you offer to me?,-3.7769275,-4.409516,-3.6110964,-3.9817543,-3.983065,-3.9249883,-3.9345708,-3.549186,-0.15403669,-1.8064908,10
About Business Component,Overall,Service_Summary,What kind of service you are offering?,-3.0602572,-3.3182669,-3.4233868,-3.1386364,-3.2119398,-3.3567843,-3.4925075,-3.2592974,-3.0352802,2.0596168,9
About Business Component,Overall,Doubt_usefulness,How much money could I save with your service?,-3.1862373,-3.3519268,-3.237608,-3.3890114,-3.6925964,-3.3442771,-3.0758162,-3.225714,2.027971,-3.1980398,8
About Techology,Data Security & Privacy,data_security,Will my data be transmitted to the government?,-3.2313013,-3.5900362,2.1685534,-3.1650124,-3.310723,-3.2784595,-3.5222268,-3.5642614,-3.3423011,-3.526388,2
About Techology,AI Techology,AI_summary,How does FillEasy integrate AI technology?,1.9774803,-3.2290602,-3.1324697,-3.5091467,-3.536096,-3.179942,-3.3409476,-3.2060683,-3.0523107,-3.0526235,0
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will My Bank Account No. Be Leaked to IAMSMART?,-3.7571652,-2.8904085,-3.149052,1.8816894,-3.3298082,-3.207933,-3.4383357,-3.4225256,-3.6188097,-3.185977,3
About Techology,Data Security & Privacy,sensitive_data_storage,Are the information I filled on stored?,-3.5345278,-3.1549587,-3.0477943,-3.4630473,2.1036403,-3.1837206,-3.48253,-3.3027873,-3.8421779,-3.2582848,4
About Business Component,Overall,Service_Summary,I do not know which service you offer,-3.1864846,-3.3038266,-3.4442496,-3.1451454,-3.1643867,-3.3996124,-3.4546318,-3.228469,-3.1076462,2.0288851,9
About Business Component,Overall,Flow_summary,I do not know to use your service.,-3.4283316,-3.3067954,-3.517836,-3.3832798,-3.1408286,-2.932509,-3.4029627,1.9131972,-2.924366,-3.4934328,7
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will My Bank Account Number be Leaked to iAMSMART?,-3.637334,-3.0685313,-3.089854,1.9742292,-3.280645,-3.1802227,-3.3442907,-3.3648634,-3.481526,-3.0937498,3
About Techology,Data Security & Privacy,data_security,Are My Data Transmitted to Other Companies without My Consent?,-3.1900768,-3.5415473,2.18067,-3.2197511,-3.2994142,-3.348676,-3.520777,-3.5822277,-3.2400181,-3.525295,2
About Business Component,Overall,Service_Summary,Talk to Me more about Your Service,-3.1527085,-3.2849762,-3.4851623,-3.099937,-3.2311692,-3.2894046,-3.450077,-3.2100887,-3.0493848,2.0699058,9
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will IAMSMART receive all my personal data?,-3.695357,-3.041462,-3.1261542,1.9452881,-3.2154322,-3.2949927,-3.3690667,-3.3793597,-3.434152,-3.1328077,3
About Business Component,Filling ,Information_saving,Will your device remember my information so I won¡¦t need to fill it in twice?,-3.462374,-3.3454096,-3.1619503,-3.4405143,-3.219595,-3.2604327,2.174508,-3.4848456,-3.0248132,-3.5634286,6
About Business Component,Overall,Service_Summary,What Service would I receive?,-3.1313813,-3.294293,-3.397948,-3.1338272,-3.216892,-3.3851335,-3.4552,-3.2489293,-3.0608766,2.0535796,9
About Techology,iAM SMART Integration,data_exchange_iamsmart,Can I stop sharing the data with iAM SMART?,-3.6526625,-2.9688613,-3.135824,1.9691944,-3.3281922,-3.2204475,-3.3366497,-3.474098,-3.4540298,-3.0774815,3
About Techology,iAM SMART Integration,Without_iamsmart,I can use the fill form function without a IAMSMART account,-3.186306,2.1505842,-3.5600827,-3.2274942,-3.0538037,-3.3630457,-3.3175125,-3.2381148,-3.434952,-3.4732351,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,"I don¡¦t want to share my data with iAM SMART, is it possible?",-3.6969037,-3.0163505,-3.0195906,1.9298259,-3.3425546,-3.3136437,-3.320875,-3.4570029,-3.490018,-3.1531029,3
About Business Component,Overall,Service_Summary,Please give me an introduction into your business.,-3.168502,-3.3622544,-3.4046726,-3.1225185,-3.227528,-3.3191004,-3.496389,-3.2078474,-3.108755,2.0368495,9
About Techology,AI Techology,AI_summary,Tell me about AI in your business.,1.9052014,-3.2170484,-3.29339,-3.5828235,-3.5042522,-3.124518,-3.455862,-3.1344652,-3.1258388,-3.0156398,0
About the team,Our Contact,Contact_method,Where Should I Send My E-Mail When I want to be in touch?,-3.3467004,-3.5510502,-3.4879024,-3.156683,-3.4936264,2.0789614,-3.3129835,-3.398944,-3.4580054,-3.5996609,5
About Techology,iAM SMART Integration,Without_iamsmart,"I don't have an iAMSMART account, can I still make use of your service?",-3.16822,2.150408,-3.5636725,-3.1770701,-3.0626044,-3.317372,-3.3792539,-3.2844496,-3.5102506,-3.4753616,1
About Business Component,Overall,Service_Summary,Not know which service you offer,-3.1337736,-3.2608144,-3.4701085,-3.1773453,-3.1736186,-3.3696072,-3.447962,-3.2003598,-3.0738673,2.0622156,9
About Techology,iAM SMART Integration,Without_iamsmart,I'm not interested in logging up a iamsmart account. What do I get if so?,-3.293008,2.0457113,-3.669623,-3.0688615,-2.9870298,-3.391552,-3.4001498,-3.4191399,-3.5495238,-3.516659,1
About Techology,Data Security & Privacy,sensitive_data_storage,Does my personal information be cacheed in your cloud?,-3.4099734,-3.0012538,-3.145637,-3.3497741,2.2087119,-3.2788417,-3.4644046,-3.2597353,-3.8314424,-3.2655752,4
About Business Component,Overall,Doubt_usefulness,Give me reasons for the use of your service.,-3.196373,-3.3709073,-3.2674809,-3.401173,-3.6738484,-3.3081853,-3.009939,-3.2194417,2.057232,-3.1453924,8
About Business Component,Overall,Flow_summary,What is the methods to use your form filling service?,-3.2140734,-3.3266811,-3.467968,-3.3492804,-3.2160487,-2.8248525,-3.6188066,2.008434,-3.0558262,-3.2383761,7
About Business Component,Overall,Doubt_usefulness,What profits do you bear to me?,-3.3342412,-3.5782666,-3.308882,-3.48533,-3.78307,-3.7188628,-3.1123638,-3.3748777,1.7151732,-2.9549704,8
About Business Component,Filling ,Information_saving,Are you going to capture my data after I closed the website?,-3.360313,-3.4094765,-3.1927896,-3.4276562,-3.233046,-3.327894,2.134987,-3.427047,-2.981386,-3.631425,6
About Business Component,Overall,Flow_summary,"So, what will I do to work?",-3.250338,-3.2569268,-3.5043943,-3.3464565,-3.225943,-2.8421693,-3.4862187,2.0197952,-3.040485,-3.2844412,7
About Techology,iAM SMART Integration,Without_iamsmart,tell me how to use your site without using i AM SMART,-3.267346,2.107113,-3.5798714,-3.1716974,-2.9903913,-3.3828712,-3.329245,-3.2662983,-3.515232,-3.5491915,1
About Business Component,Overall,Service_Summary,What kind of service will you offer?,-3.079057,-3.3317087,-3.4220927,-3.1165347,-3.2338326,-3.3702314,-3.47239,-3.2237415,-3.0330508,2.0733814,9
About Techology,AI Techology,AI_summary,Why do You Use Machine Learning in Your Service?,1.9942118,-3.2208004,-3.1446524,-3.6055064,-3.4853814,-3.1795287,-3.3099637,-3.2092614,-3.0037305,-3.0421805,0
About the team,Our Contact,Contact_method,I need to be in touch.,-3.4148033,-3.4644673,-3.4344268,-3.2418163,-3.6061783,2.0869603,-3.374659,-3.3190427,-3.4228933,-3.5274663,5
About the team,Our Contact,Contact_method,What's your office address?,-3.3414724,-3.4859776,-3.4659078,-3.231637,-3.5620332,2.1271126,-3.3895454,-3.2604842,-3.3964713,-3.4829326,5
About Techology,iAM SMART Integration,Without_iamsmart,Tell Me How to Use your Site Without Using iAMSMART,-3.2405388,2.1096287,-3.5400434,-3.143029,-3.085407,-3.3486874,-3.35476,-3.2736747,-3.5080667,-3.527203,1
About the team,Our Contact,Contact_method,Can I come to your office?,-3.3577492,-3.4695115,-3.4261568,-3.269465,-3.4893634,2.111069,-3.3773704,-3.375859,-3.3979065,-3.4810157,5
About Techology,iAM SMART Integration,data_exchange_iamsmart,will iAM SMART receive all my personal information?,-3.6565845,-3.0179367,-3.1356406,1.956868,-3.2381105,-3.2842255,-3.3776276,-3.4001267,-3.4293046,-3.0955992,3
About Techology,iAM SMART Integration,data_exchange_iamsmart,"I don¡¦t want to share my information with iAMSMART, is it possible?",-3.718417,-3.0569131,-3.0116928,1.8870413,-3.3859406,-3.2579873,-3.3490043,-3.451856,-3.529897,-3.1858237,3
About the team,Our Contact,Contact_method,How could we get up to you guys?,-3.2941544,-3.4346993,-3.4612494,-3.1738932,-3.5745745,2.170331,-3.3734937,-3.2759216,-3.3935738,-3.5030386,5
About Techology,Data Security & Privacy,data_security,Will the other members have access to my information?,-3.2447622,-3.5614762,2.2360249,-3.1360953,-3.3196733,-3.2895985,-3.4415834,-3.530043,-3.2706711,-3.4426196,2
About Business Component,Overall,Doubt_usefulness,Give me a reason for why I need to use your service?,-3.1615362,-3.3354127,-3.2332258,-3.4071257,-3.698036,-3.336397,-2.9641635,-3.2783973,2.0594678,-3.1850994,8
